player_id,team_id,league_id,position,role,pitching_ratings_overall_stuff,pitching_ratings_overall_movement,pitching_ratings_overall_hra,pitching_ratings_overall_pbabip,pitching_ratings_overall_control,pitching_ratings_overall_balk,pitching_ratings_overall_hp,pitching_ratings_overall_wild_pitch,pitching_ratings_vsr_stuff,pitching_ratings_vsr_movement,pitching_ratings_vsr_hra,pitching_ratings_vsr_pbabip,pitching_ratings_vsr_control,pitching_ratings_vsr_balk,pitching_ratings_vsr_hp,pitching_ratings_vsr_wild_pitch,pitching_ratings_vsl_stuff,pitching_ratings_vsl_movement,pitching_ratings_vsl_hra,pitching_ratings_vsl_pbabip,pitching_ratings_vsl_control,pitching_ratings_vsl_balk,pitching_ratings_vsl_hp,pitching_ratings_vsl_wild_pitch,pitching_ratings_talent_stuff,pitching_ratings_talent_movement,pitching_ratings_talent_hra,pitching_ratings_talent_pbabip,pitching_ratings_talent_control,pitching_ratings_talent_balk,pitching_ratings_talent_hp,pitching_ratings_talent_wild_pitch,pitching_ratings_pitches_fastball,pitching_ratings_pitches_slider,pitching_ratings_pitches_curveball,pitching_ratings_pitches_screwball,pitching_ratings_pitches_forkball,pitching_ratings_pitches_changeup,pitching_ratings_pitches_sinker,pitching_ratings_pitches_splitter,pitching_ratings_pitches_knuckleball,pitching_ratings_pitches_cutter,pitching_ratings_pitches_circlechange,pitching_ratings_pitches_knucklecurve,pitching_ratings_pitches_talent_fastball,pitching_ratings_pitches_talent_slider,pitching_ratings_pitches_talent_curveball,pitching_ratings_pitches_talent_screwball,pitching_ratings_pitches_talent_forkball,pitching_ratings_pitches_talent_changeup,pitching_ratings_pitches_talent_sinker,pitching_ratings_pitches_talent_splitter,pitching_ratings_pitches_talent_knuckleball,pitching_ratings_pitches_talent_cutter,pitching_ratings_pitches_talent_circlechange,pitching_ratings_pitches_talent_knucklecurve,pitching_ratings_misc_velocity,pitching_ratings_misc_arm_slot,pitching_ratings_misc_stamina,pitching_ratings_misc_ground_fly,pitching_ratings_misc_hold
29,87,202,3,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,57,20
30,87,202,9,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,46,20
31,41,201,3,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20,39,20
32,87,202,8,0,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,36,20
33,87,202,2,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,59,20
34,87,202,8,0,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,59,20
35,0,0,1,11,40,45,50,40,20,0,9,5,40,45,50,40,20,0,9,5,40,45,50,40,20,0,9,5,40,45,50,40,20,0,9,5,40,0,0,45,0,40,45,0,0,45,0,0,45,0,0,45,0,40,45,0,0,45,0,0,7,3,60,51,40
36,87,202,1,11,45,45,45,45,30,1,11,3,45,45,45,45,30,1,11,3,40,45,45,45,30,1,11,3,45,45,45,45,30,1,11,3,45,45,45,0,0,0,0,0,0,45,0,0,45,45,45,0,0,0,0,0,0,45,0,0,11,3,45,42,40
37,87,202,1,12,45,45,45,45,30,0,5,5,50,45,50,45,30,0,5,5,40,40,40,45,30,0,5,5,45,45,45,45,30,0,5,5,45,50,0,0,0,0,0,0,0,0,0,0,45,50,0,0,0,0,0,0,0,0,0,0,8,2,30,43,55
38,87,202,1,12,40,45,45,45,35,2,12,3,40,45,45,45,35,2,12,3,40,45,50,45,35,2,12,3,40,45,45,45,35,2,12,3,45,40,0,0,0,0,0,0,0,35,0,0,45,40,0,0,0,0,0,0,0,35,0,0,10,3,45,43,70
39,87,202,1,12,45,45,45,45,25,1,5,3,45,45,45,45,25,1,5,3,45,45,45,45,25,1,5,3,45,45,45,45,25,1,5,3,45,0,0,0,0,0,0,45,0,45,0,0,45,0,0,0,0,0,0,45,0,45,0,0,10,4,35,41,35
40,116,203,1,12,30,45,45,45,35,2,13,4,30,45,45,45,35,2,13,4,30,45,45,45,35,2,13,4,30,45,45,45,35,2,13,4,35,0,0,0,0,40,0,0,0,35,0,0,35,0,0,0,0,40,0,0,0,35,0,0,8,3,50,39,70
41,0,0,1,12,30,45,45,40,35,2,11,5,30,45,50,45,35,2,11,5,30,45,45,40,35,2,11,5,30,45,45,40,35,2,11,5,35,35,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,8,3,45,47,30
42,0,0,1,12,35,45,45,45,30,1,13,3,35,45,45,45,30,1,13,3,35,45,45,45,30,1,13,3,35,45,45,45,30,1,13,3,40,0,0,0,0,40,0,0,0,35,0,0,40,0,0,0,0,40,0,0,0,35,0,0,8,3,30,43,65
43,145,204,1,12,45,45,45,45,25,0,5,4,45,45,45,45,25,0,5,4,45,45,45,45,25,0,5,4,45,45,50,45,25,0,5,4,45,0,0,0,0,50,0,0,0,0,0,0,45,0,0,0,0,50,0,0,0,0,0,0,10,3,30,50,50
44,0,0,1,12,30,45,45,45,40,0,5,4,30,45,45,45,40,0,5,4,30,45,45,45,40,0,5,4,30,45,45,45,40,0,5,4,35,0,35,0,0,0,40,0,0,0,0,0,35,0,35,0,0,0,40,0,0,0,0,0,8,3,65,46,45
45,87,202,1,11,40,45,45,45,35,0,5,3,35,45,45,45,35,0,5,3,40,45,45,45,35,0,5,3,40,45,45,45,35,0,5,3,40,45,0,0,0,50,0,0,0,0,0,0,45,45,0,0,0,50,0,0,0,0,0,0,8,4,65,43,70
46,0,0,1,12,40,45,45,45,30,2,11,5,40,45,45,45,30,2,11,5,40,45,45,45,30,2,11,5,40,45,50,45,30,2,11,5,40,0,0,0,0,0,0,45,0,0,0,0,40,0,0,0,0,0,0,45,0,0,0,0,8,4,40,42,30
47,87,202,1,12,45,45,45,45,30,0,5,3,45,45,45,45,30,0,5,3,50,45,50,45,30,0,5,3,45,45,45,45,30,0,5,3,45,50,0,0,0,0,0,0,0,0,0,0,45,50,0,0,0,0,0,0,0,0,0,0,8,3,35,44,75
48,174,205,1,11,20,40,40,45,35,1,6,5,20,40,40,45,35,1,6,5,20,40,40,40,35,1,6,5,45,50,60,45,55,1,6,5,40,0,0,0,0,0,35,30,0,35,0,0,45,0,0,0,0,0,45,50,0,50,0,0,11,3,75,58,20
49,15,200,1,11,50,55,60,50,60,0,5,5,50,60,65,50,60,0,5,5,45,55,60,50,55,0,5,5,50,55,60,50,60,0,5,5,50,50,55,0,0,55,55,0,0,0,0,0,50,50,55,0,0,55,55,0,0,0,0,0,11,3,75,61,60
50,74,202,1,11,35,40,40,45,40,2,12,4,35,40,40,45,40,2,12,4,35,40,40,45,40,2,12,4,35,40,40,45,40,2,12,4,40,40,40,0,0,45,0,0,0,0,0,0,40,40,40,0,0,45,0,0,0,0,0,0,9,4,70,43,35
51,15,200,1,11,45,50,55,50,55,1,5,2,45,50,55,50,55,1,5,2,45,50,55,50,55,1,5,2,45,50,55,50,55,1,5,3,50,50,40,0,0,60,0,0,0,0,0,0,50,50,40,0,0,60,0,0,0,0,0,0,10,3,75,53,60
52,15,200,1,12,60,45,40,50,40,2,10,5,55,45,40,50,40,2,10,5,65,45,40,55,40,2,10,5,60,45,40,50,40,2,10,5,50,55,0,0,0,65,0,45,0,0,0,0,50,55,0,0,0,65,0,45,0,0,0,0,11,3,50,41,75
53,15,200,1,12,40,50,50,45,35,0,9,4,45,50,55,45,35,0,9,4,40,45,50,45,35,0,9,4,40,50,50,45,35,0,9,4,40,40,45,0,0,45,40,45,0,0,0,0,45,40,45,0,0,45,40,45,0,0,0,0,9,2,60,54,50
54,15,200,1,13,55,55,60,50,60,1,5,3,55,55,60,50,60,1,5,3,55,55,60,50,60,1,5,3,55,55,60,50,60,1,5,3,65,0,75,0,0,0,0,0,0,0,0,0,65,0,75,0,0,0,0,0,0,0,0,0,16,3,35,54,40
55,74,202,1,12,35,45,50,40,35,1,5,5,35,45,50,40,35,1,5,5,35,50,60,45,35,1,5,5,35,45,50,40,35,1,5,5,40,35,0,0,0,0,0,0,0,0,0,0,40,35,0,0,0,0,0,0,0,0,0,0,8,2,35,52,55
56,35,201,1,12,35,50,50,45,65,0,5,2,35,50,50,50,65,0,5,2,35,50,50,45,65,0,5,2,35,50,50,45,65,0,5,2,40,35,0,0,0,0,0,0,0,40,0,0,40,35,0,0,0,0,0,0,0,40,0,0,6,3,35,50,35
57,0,0,1,12,30,45,50,45,35,1,5,4,30,45,50,45,35,1,5,4,30,45,50,45,35,1,5,4,30,45,50,45,35,1,5,4,35,0,0,0,0,0,40,0,0,35,0,0,35,0,0,0,0,0,40,0,0,35,0,0,6,3,30,48,45
58,35,201,1,11,50,50,50,45,50,0,5,5,50,50,50,45,50,0,5,5,50,45,50,45,50,0,5,5,50,50,50,45,50,0,5,5,55,0,0,0,0,0,45,0,0,60,0,0,55,0,0,0,0,0,45,0,0,60,0,0,12,3,45,52,45
59,15,200,1,12,55,45,45,50,50,2,6,5,55,45,45,50,50,2,6,5,55,45,45,50,50,2,6,5,55,45,45,50,50,2,6,5,55,0,60,0,0,0,0,0,0,55,0,0,55,0,60,0,0,0,0,0,0,55,0,0,12,3,30,43,70
60,0,0,1,12,40,40,35,45,35,0,12,5,40,40,35,45,35,0,12,5,40,40,35,45,35,0,12,5,40,40,35,45,35,0,13,5,45,0,0,0,0,0,0,45,0,0,0,0,45,0,0,0,0,0,0,45,0,0,0,0,10,3,45,49,25
61,15,200,2,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,59,20
62,2,200,2,0,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,20,30,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,49,20
63,15,200,3,0,20,35,30,40,20,30,15,15,20,35,30,40,20,30,15,15,20,35,30,40,20,30,15,15,20,35,30,40,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,36,20
64,74,202,4,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,44,20
65,35,201,5,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,49,20
66,174,205,6,0,20,30,20,35,20,30,15,15,20,30,20,35,20,30,15,15,20,30,20,35,20,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,37,20
67,74,202,4,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,47,20
68,98,203,4,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,20,60,20
69,98,203,7,0,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,42,20
70,74,202,8,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,20,53,20
71,0,0,7,0,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,54,20
72,15,200,7,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,36,20
73,15,200,3,0,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,20,35,35,40,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,36,20
74,74,202,3,0,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,20,42,20
75,74,202,5,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,41,20
76,74,202,9,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,39,20
77,74,202,4,0,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,20,35,35,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,45,20
78,74,202,2,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,43,20
79,74,202,7,0,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,20,35,35,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,51,20
80,74,202,3,0,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,20,35,30,35,25,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,52,20
81,74,202,9,0,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,20,35,30,35,20,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,60,20
82,74,202,1,12,45,45,45,45,25,1,13,3,45,45,45,45,25,1,13,3,45,45,45,45,25,1,13,3,45,45,45,45,25,1,13,3,45,0,0,0,0,0,45,0,0,45,0,0,45,0,0,0,0,0,45,0,0,45,0,0,12,3,30,48,30
83,74,202,1,12,45,40,35,45,35,1,5,5,45,40,35,45,35,1,5,5,45,40,35,45,35,1,5,5,45,40,35,45,35,1,5,5,45,0,0,0,0,0,40,0,0,45,0,0,45,0,0,0,0,0,40,0,0,45,0,0,9,3,30,49,20
84,74,202,1,11,45,35,30,45,30,0,12,5,40,35,30,45,30,0,12,5,45,35,30,45,30,0,12,5,45,35,30,45,30,0,12,5,45,45,45,0,0,45,0,0,0,0,0,0,45,45,45,0,0,45,0,0,0,0,0,0,10,3,50,44,80
85,74,202,1,11,40,40,35,45,40,1,12,3,40,40,35,45,40,1,12,3,35,40,35,45,40,1,12,3,40,40,35,45,40,1,12,3,40,45,40,0,0,45,0,0,0,0,0,0,40,45,40,0,0,45,0,0,0,0,0,0,9,3,50,48,30
86,98,203,1,12,45,45,45,45,30,1,12,3,45,45,45,45,30,1,12,3,45,45,45,45,30,1,12,3,45,45,45,45,30,1,12,3,45,0,50,0,0,0,0,0,0,0,0,0,45,0,50,0,0,0,0,0,0,0,0,0,8,4,50,44,55
87,79,202,1,12,40,40,40,45,35,0,12,4,40,40,40,45,35,0,12,4,40,40,40,45,35,0,12,4,40,40,40,45,35,0,12,4,40,0,45,0,0,40,0,0,0,0,0,0,40,0,45,0,0,40,0,0,0,0,0,0,8,3,65,45,40
88,74,202,1,12,45,45,45,45,20,2,10,5,45,45,45,45,20,2,10,5,45,45,45,45,20,2,10,5,45,45,45,45,20,2,10,5,45,0,0,0,0,45,0,0,0,45,0,0,45,0,0,0,0,45,0,0,0,45,0,0,11,3,30,41,45
89,98,203,1,12,45,45,40,45,35,0,11,3,45,45,40,45,35,0,11,3,45,45,40,45,35,0,11,3,45,45,40,45,35,0,11,3,45,0,0,0,0,45,0,0,0,55,0,0,45,0,0,0,0,45,0,0,0,55,0,0,9,3,45,43,65
90,74,202,1,12,45,40,35,45,40,1,10,5,45,40,35,45,40,1,10,5,40,40,35,45,40,1,10,5,45,40,35,45,40,1,10,5,45,45,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,10,3,40,49,75
