player_id,team_id,league_id,position,role,bats,batting_ratings_overall_contact,batting_ratings_overall_gap,batting_ratings_overall_eye,batting_ratings_overall_strikeouts,batting_ratings_overall_hp,batting_ratings_overall_power,batting_ratings_overall_babip,batting_ratings_vsr_contact,batting_ratings_vsr_gap,batting_ratings_vsr_eye,batting_ratings_vsr_strikeouts,batting_ratings_vsr_hp,batting_ratings_vsr_power,batting_ratings_vsr_babip,batting_ratings_vsl_contact,batting_ratings_vsl_gap,batting_ratings_vsl_eye,batting_ratings_vsl_strikeouts,batting_ratings_vsl_hp,batting_ratings_vsl_power,batting_ratings_vsl_babip,batting_ratings_talent_contact,batting_ratings_talent_gap,batting_ratings_talent_eye,batting_ratings_talent_strikeouts,batting_ratings_talent_hp,batting_ratings_talent_power,batting_ratings_talent_babip,batting_ratings_misc_bunt,batting_ratings_misc_bunt_for_hit,batting_ratings_misc_gb_hitter_type,batting_ratings_misc_fb_hitter_type,running_ratings_speed,running_ratings_stealing_rate,running_ratings_stealing,running_ratings_baserunning
31,41,201,3,0,1,45,40,45,50,10,40,45,45,40,45,50,10,40,45,50,40,45,50,10,40,45,45,40,45,50,10,40,45,50,20,0,0,35,55,65,55
32,87,202,8,0,1,40,40,45,55,4,35,30,40,40,45,50,4,35,30,40,40,50,60,4,35,30,40,40,45,55,4,35,30,50,20,1,0,55,35,25,40
33,87,202,2,0,1,40,40,50,50,3,30,35,40,40,50,50,3,30,35,45,45,55,55,3,30,35,40,40,50,50,3,30,35,50,25,0,0,35,35,40,35
34,87,202,8,0,1,50,40,45,55,4,30,45,50,40,45,55,4,30,45,50,45,45,60,4,30,45,50,40,45,55,4,30,45,55,25,0,0,45,45,45,40
35,0,0,1,11,2,40,35,40,40,1,25,40,40,35,40,45,1,25,40,40,35,35,40,1,20,40,40,35,40,40,1,25,40,80,20,0,2,20,25,20,20
36,87,202,1,11,1,40,35,40,40,2,30,40,40,35,35,40,2,30,40,40,35,40,45,2,30,45,40,35,40,40,2,30,45,60,25,0,0,25,20,20,30
37,87,202,1,12,1,45,35,40,45,1,35,45,45,35,40,45,1,35,45,45,35,40,45,1,35,45,45,35,40,45,1,35,45,55,20,0,1,25,20,20,20
38,87,202,1,12,2,40,35,50,40,2,30,45,40,35,50,45,2,30,45,40,35,45,40,2,30,45,40,35,50,40,2,30,45,50,20,2,2,30,30,30,30
39,87,202,1,12,2,45,35,40,45,3,30,45,45,35,40,45,3,30,45,40,35,35,40,3,30,45,45,35,40,45,3,30,45,65,25,0,1,25,20,20,20
40,116,203,1,12,1,35,35,40,40,2,30,35,35,35,40,40,2,30,35,40,35,40,40,2,30,35,35,35,40,40,2,30,35,30,20,2,0,30,20,20,35
41,0,0,1,12,1,30,35,50,35,1,25,30,30,35,50,35,1,25,30,35,35,50,35,1,25,30,30,35,50,35,1,25,30,80,20,1,0,25,20,20,20
42,0,0,1,12,1,35,35,35,40,1,30,30,35,35,35,40,1,30,30,35,40,40,40,1,30,30,35,35,35,40,1,30,30,75,25,2,2,25,25,20,30
43,145,204,1,12,3,40,35,40,40,2,25,40,40,35,40,40,2,25,40,40,35,40,40,2,25,40,40,35,40,40,2,25,40,35,20,2,1,20,20,20,20
44,0,0,1,12,1,40,35,40,40,2,30,40,40,35,40,40,2,30,40,40,40,40,40,2,30,40,40,35,40,40,2,30,40,70,25,1,0,25,20,20,20
45,87,202,1,11,1,40,35,40,40,1,25,40,40,35,40,40,1,25,40,40,35,40,40,1,25,40,40,35,40,40,1,25,40,45,25,2,2,25,25,20,20
46,0,0,1,12,1,35,35,40,40,1,30,30,35,35,40,40,1,30,30,35,35,40,40,1,30,30,35,35,40,40,1,30,30,75,20,0,1,25,20,20,20
47,87,202,1,12,1,30,35,40,35,1,25,25,30,35,40,35,1,25,25,30,35,40,35,1,25,25,30,35,40,35,1,25,25,45,25,1,0,25,20,20,20
48,174,205,1,11,1,30,30,30,30,2,25,25,30,30,30,30,2,25,25,30,30,30,30,2,25,25,35,35,40,40,2,30,30,70,25,0,2,25,20,20,20
49,15,200,1,11,1,40,35,35,40,3,30,40,40,35,35,40,3,30,40,40,35,40,45,3,30,40,40,35,35,40,3,30,40,80,25,0,1,25,20,20,20
50,74,202,1,11,1,30,35,50,35,1,20,25,30,35,50,35,1,20,25,30,35,50,35,1,20,25,30,35,50,35,1,20,25,40,25,2,0,25,20,20,20
51,15,200,1,11,2,45,35,35,45,1,30,45,45,35,35,45,1,30,45,40,35,35,40,1,30,45,45,35,35,45,1,30,45,70,25,2,1,25,40,50,45
52,15,200,1,12,2,35,35,40,40,2,30,30,35,35,40,40,2,30,30,35,30,40,40,2,25,30,35,35,40,40,2,30,30,65,20,0,0,30,30,30,30
53,15,200,1,12,1,40,30,35,40,3,20,40,40,30,35,40,3,20,40,40,30,35,40,3,20,40,40,30,35,40,3,20,40,50,25,1,0,25,25,30,30
54,15,200,1,13,1,40,35,35,40,2,30,35,40,35,35,40,2,30,35,40,35,35,40,2,30,35,40,35,35,40,2,30,35,75,25,0,2,30,25,20,20
55,74,202,1,12,2,40,35,40,40,1,30,40,40,35,40,40,1,30,40,40,35,40,40,1,30,40,40,35,40,40,1,30,40,75,25,2,1,25,25,25,20
56,35,201,1,12,2,45,35,45,45,1,30,45,45,35,45,45,1,30,45,45,35,40,45,1,25,45,45,35,45,45,1,30,45,70,25,0,0,20,20,20,35
57,0,0,1,12,1,45,35,40,45,1,30,45,45,35,40,45,1,30,45,45,35,40,45,1,30,45,45,35,40,45,1,30,45,45,25,0,0,25,20,20,20
58,35,201,1,11,3,45,35,40,45,3,30,45,45,35,40,45,3,30,45,45,35,40,45,3,30,45,45,35,40,45,3,30,45,70,25,0,0,25,20,20,20
59,15,200,1,12,2,40,35,40,40,1,30,40,40,35,40,40,1,30,40,40,35,35,40,1,30,40,40,35,40,40,1,30,40,60,25,0,0,30,25,20,25
60,0,0,1,12,1,40,35,40,40,3,25,35,35,35,40,40,3,25,35,40,35,40,40,3,25,35,40,35,40,40,3,25,35,80,25,2,0,25,25,20,20
61,15,200,2,0,2,45,45,45,45,8,50,45,45,45,45,45,8,50,50,45,45,40,40,8,45,45,45,45,45,45,8,50,45,30,20,0,0,25,25,20,25
62,2,200,2,0,1,50,40,40,50,14,45,50,50,40,40,50,14,45,50,50,40,45,50,14,45,50,50,40,40,50,14,45,50,50,25,0,0,20,25,20,30
63,15,200,3,0,2,55,50,50,55,6,55,50,55,50,50,55,6,55,55,50,45,45,50,6,50,50,55,50,50,55,6,55,50,40,20,0,1,20,20,20,20
64,74,202,4,0,3,45,40,40,55,3,35,40,45,40,40,55,3,35,40,45,40,40,50,3,35,40,45,40,40,55,3,35,40,50,25,2,2,40,35,35,25
65,35,201,5,0,1,45,40,50,55,5,30,40,45,40,50,50,5,30,40,45,40,50,55,5,30,40,45,40,50,55,5,30,40,50,20,2,2,35,30,35,25
66,174,205,6,0,1,35,30,35,35,4,20,30,35,30,35,35,4,20,30,35,30,35,35,4,20,30,45,40,50,55,4,20,40,50,50,0,1,45,30,35,20
67,74,202,4,0,3,45,40,40,50,3,30,40,45,40,40,55,3,30,40,40,40,40,50,3,30,40,45,40,40,50,3,30,40,50,25,0,0,35,45,45,55
68,98,203,4,0,1,40,40,50,45,3,20,35,40,40,50,45,3,20,35,40,40,50,45,3,20,35,40,40,50,45,3,20,35,60,45,1,0,40,40,35,50
69,98,203,7,0,1,50,40,50,55,7,30,45,45,40,50,55,7,30,45,50,45,50,60,7,30,45,50,40,50,55,7,30,45,55,20,0,2,35,40,35,40
70,74,202,8,0,1,40,40,40,50,8,35,35,40,40,40,50,8,35,35,40,45,45,55,8,35,35,40,40,40,50,8,35,35,65,20,0,1,60,60,65,55
71,0,0,7,0,2,35,40,45,50,5,30,25,35,40,45,50,5,30,25,35,40,40,45,5,25,25,35,40,45,50,5,30,25,50,35,0,2,25,25,25,20
72,15,200,7,0,2,50,50,45,50,13,50,50,50,55,45,55,13,55,50,45,50,45,50,13,50,50,50,55,45,50,13,50,50,50,20,3,0,50,40,35,35
73,15,200,3,0,2,75,65,50,65,8,50,75,75,65,50,70,8,55,75,70,60,50,60,8,50,75,80,65,50,70,8,55,80,40,25,0,0,50,55,60,75
74,74,202,3,0,2,40,40,40,50,2,20,35,40,40,40,55,2,20,35,40,40,35,45,2,20,35,40,40,40,50,2,20,35,65,30,1,0,25,30,25,20
75,74,202,5,0,1,40,40,50,55,5,35,35,40,40,50,55,5,35,35,45,40,50,60,5,40,35,40,40,50,55,5,35,35,30,20,0,0,25,30,35,20
76,74,202,9,0,2,45,40,45,50,4,25,40,45,40,45,50,4,25,40,40,40,45,45,4,25,40,45,40,45,50,4,25,40,50,35,0,0,30,20,20,20
77,74,202,4,0,2,40,40,45,50,5,25,35,40,40,45,50,5,25,35,40,40,45,45,5,25,30,40,45,45,50,5,25,35,50,45,2,1,50,60,60,55
78,74,202,2,0,1,35,40,45,45,5,20,25,35,40,45,45,5,20,25,35,40,45,50,5,20,25,35,40,45,45,5,20,25,55,45,0,0,45,45,45,50
79,74,202,7,0,1,40,40,55,45,7,30,40,40,40,55,45,7,30,40,40,40,55,45,7,30,40,40,40,55,45,7,30,40,50,35,2,2,30,25,20,20
80,74,202,3,0,2,40,45,55,50,2,40,35,40,45,55,50,2,40,35,40,40,50,45,2,35,35,40,45,55,50,2,40,35,50,25,0,2,40,40,40,45
81,74,202,9,0,1,45,40,45,45,14,20,45,45,40,45,45,14,20,45,45,40,45,45,14,20,45,45,40,45,45,14,20,45,50,35,1,0,30,30,25,25
82,74,202,1,12,3,40,35,45,40,2,35,40,40,35,45,45,2,40,40,40,35,45,40,2,35,40,40,35,45,40,2,35,40,40,20,0,0,20,20,20,20
83,74,202,1,12,1,35,35,45,40,2,25,35,35,35,45,40,2,25,35,35,35,45,40,2,25,35,35,35,45,40,2,25,35,70,20,1,2,25,20,20,20
84,74,202,1,11,2,40,35,40,40,2,25,35,40,35,40,40,2,25,35,35,35,40,40,2,25,35,40,35,40,40,2,25,35,75,25,0,0,30,20,20,25
85,74,202,1,11,1,35,35,40,40,3,30,35,35,35,40,40,3,30,35,40,35,40,45,3,30,35,35,35,40,40,3,30,35,40,25,0,0,25,25,20,20
86,98,203,1,12,2,45,35,35,45,3,30,45,45,35,35,45,3,30,45,40,35,35,40,3,25,45,45,35,35,45,3,30,45,35,25,0,0,30,25,35,20
87,79,202,1,12,1,45,35,35,45,3,20,45,45,35,35,45,3,20,45,45,35,35,45,3,20,45,45,35,35,45,3,20,45,65,20,1,0,25,30,25,35
88,74,202,1,12,1,45,35,35,45,3,25,45,45,35,35,45,3,25,45,45,35,35,45,3,25,45,45,35,35,45,3,25,45,35,25,1,2,25,25,20,25
89,98,203,1,12,2,40,35,50,40,3,35,35,40,35,50,40,3,35,35,35,35,50,40,3,35,35,40,35,50,40,3,35,35,50,25,2,2,30,25,20,25
90,74,202,1,12,1,40,30,35,40,1,25,40,40,30,35,40,1,25,40,40,35,35,40,1,25,40,40,35,35,40,1,25,40,50,25,1,1,25,20,20,25
91,0,0,1,12,1,35,35,35,40,1,30,30,35,35,35,40,1,30,30,35,35,35,40,1,35,35,35,35,35,40,1,30,35,60,20,1,2,20,25,25,20
92,74,202,1,12,1,40,35,35,45,1,25,45,40,35,35,45,1,25,45,40,35,35,45,1,25,45,40,35,35,45,1,25,45,30,25,2,2,25,25,25,25
93,0,0,1,12,1,45,35,45,45,1,30,45,45,35,45,45,1,30,45,45,35,45,45,1,30,45,45,35,45,45,1,30,45,35,25,1,0,25,20,20,25
94,98,203,1,12,2,35,35,40,40,2,30,30,35,35,40,40,2,30,35,35,35,40,40,2,30,30,35,35,40,40,2,30,30,70,25,0,1,25,20,20,20
95,69,202,1,11,1,35,35,45,40,2,20,30,35,35,45,40,2,20,30,35,35,45,40,2,20,30,35,35,45,40,2,20,30,65,25,0,2,30,25,20,20
96,13,200,1,11,2,40,35,40,40,1,20,40,40,35,40,40,1,20,40,40,35,40,40,1,20,40,40,35,40,40,1,20,40,50,30,0,1,20,25,20,25
97,13,200,1,11,1,30,35,35,35,3,30,30,30,35,35,35,3,30,30,35,35,35,35,3,30,30,30,35,35,35,3,30,30,75,25,0,2,25,40,45,45
98,0,0,1,12,1,40,35,35,40,2,30,40,40,35,35,40,2,30,40,40,35,40,45,2,30,40,40,35,40,40,2,30,40,55,20,1,2,25,20,20,20
99,32,201,1,12,2,30,35,35,35,2,30,30,35,35,35,35,2,30,30,30,35,35,35,2,30,25,30,35,35,35,2,30,30,70,25,1,0,25,25,20,30
100,13,200,1,12,1,40,35,35,40,1,25,45,40,35,35,40,1,25,45,40,35,35,40,1,25,45,40,35,35,40,1,25,45,35,25,0,1,30,35,40,35
101,13,200,1,11,2,45,35,40,45,1,35,45,45,35,40,45,1,35,45,40,35,35,40,1,35,45,45,35,40,45,1,35,45,35,30,2,1,25,20,20,20
102,69,202,1,13,1,40,35,40,40,3,25,45,40,35,40,40,3,25,45,40,35,40,45,3,25,45,40,35,40,40,3,25,45,40,25,1,0,30,35,35,30
103,13,200,1,13,2,40,35,45,40,1,25,40,40,35,50,40,1,25,40,40,35,45,40,1,25,40,40,35,50,40,1,25,40,60,20,0,0,25,20,25,20
104,0,0,1,12,1,35,35,40,40,3,35,30,35,35,40,35,3,35,30,35,35,40,40,3,35,30,35,35,40,40,3,35,30,70,20,0,2,25,25,30,20
105,69,202,1,12,1,40,35,40,40,1,30,35,40,35,40,40,1,30,35,40,35,40,45,1,30,35,40,35,40,40,1,30,35,35,20,0,2,25,20,25,20
106,69,202,1,12,1,45,35,40,40,3,30,45,45,35,40,40,3,30,45,45,35,40,45,3,30,45,45,35,40,40,3,30,45,55,25,0,1,25,25,20,20
107,13,200,1,12,1,45,35,40,45,1,25,45,45,35,35,45,1,25,45,45,35,40,45,1,30,45,45,35,40,45,1,25,45,60,25,2,2,25,25,20,25
108,32,201,2,0,1,45,45,45,45,1,50,45,45,45,45,45,1,50,45,45,45,45,45,1,50,45,45,45,45,45,1,50,45,30,20,0,0,30,45,65,50
109,13,200,2,0,1,40,50,45,30,5,60,50,40,45,45,30,5,55,50,40,50,45,30,5,65,55,40,50,45,30,5,60,50,40,25,0,1,25,25,35,25
110,124,204,3,0,1,40,35,35,40,15,35,40,40,35,35,40,15,35,40,40,35,40,40,15,40,40,55,50,50,55,15,55,55,30,25,2,0,25,25,25,30
111,13,200,4,0,2,55,50,55,55,7,60,50,55,50,60,55,7,60,55,50,50,50,50,7,55,50,60,50,55,55,7,60,55,35,25,2,0,35,45,50,40
112,69,202,5,0,1,30,30,35,35,9,25,30,30,30,35,35,9,25,30,35,30,35,35,9,25,30,45,40,50,55,9,40,35,50,20,2,0,40,40,45,50
113,13,200,6,0,1,55,50,55,55,12,50,55,55,50,55,55,12,50,55,60,50,60,60,12,55,55,55,50,55,55,12,50,55,35,25,2,0,35,40,55,60
114,69,202,5,0,2,45,35,50,55,4,40,35,45,35,50,55,4,40,35,40,35,50,50,4,35,35,45,35,50,55,4,40,35,30,20,0,0,35,30,40,30
115,32,201,4,0,1,40,45,45,45,3,50,45,40,45,45,45,3,50,45,45,45,50,45,3,50,45,40,45,45,45,3,50,45,25,25,0,1,45,35,25,45
116,32,201,7,0,1,50,55,50,50,10,55,50,50,55,50,50,10,55,50,50,60,55,55,10,55,50,50,60,50,50,10,55,50,25,25,0,1,55,60,60,65
117,13,200,7,0,1,55,65,45,55,5,55,55,55,65,45,55,5,55,55,55,65,50,55,5,65,55,55,65,45,55,5,55,55,35,25,0,0,60,65,60,65
118,69,202,7,0,1,55,45,45,55,2,30,50,55,45,45,55,2,30,50,60,45,45,60,2,30,55,55,45,45,55,2,30,50,50,20,0,0,45,60,60,60
119,162,205,7,0,1,30,30,30,35,5,20,25,30,30,30,35,5,20,25,30,30,30,35,5,20,25,45,40,45,60,5,25,35,50,35,1,0,30,20,20,25
120,13,200,7,0,1,50,50,45,55,6,55,50,50,50,45,50,6,50,50,55,50,50,60,6,60,50,50,50,45,55,6,55,50,40,20,0,0,30,25,20,20
121,0,0,7,0,2,40,40,40,55,7,30,30,40,40,45,55,7,30,30,40,40,40,50,7,30,30,40,40,40,55,7,30,30,45,25,0,2,30,30,20,35
122,76,202,7,0,2,45,40,40,55,4,35,45,50,40,40,55,4,35,45,45,40,40,50,4,35,40,45,40,40,55,4,35,45,50,20,0,0,35,40,45,45
123,69,202,6,0,1,35,40,40,45,5,20,25,35,40,40,45,5,20,25,35,40,40,50,5,20,25,35,45,40,50,5,20,25,45,35,0,0,40,45,55,45
124,32,201,7,0,1,45,40,50,50,5,30,45,45,40,50,50,5,30,45,45,40,50,50,5,35,45,45,40,50,50,5,30,45,55,25,0,0,25,35,45,45
125,69,202,7,0,2,45,45,50,55,12,40,35,45,45,50,55,12,40,35,40,40,45,50,12,35,35,45,45,50,55,12,40,35,55,25,0,2,35,45,55,50
126,32,201,4,0,1,50,40,40,55,3,30,45,50,40,40,55,3,30,45,50,40,40,55,3,35,45,50,40,40,55,3,30,45,50,25,1,0,30,20,20,20
127,69,202,4,0,3,45,40,45,55,7,30,40,45,40,45,55,7,30,40,45,40,50,60,7,30,40,45,40,50,55,7,30,40,65,20,0,2,45,50,55,50
128,0,0,7,0,3,40,40,45,55,7,35,25,40,40,45,55,7,35,25,40,40,45,55,7,35,25,40,40,45,55,7,35,25,55,25,0,1,30,20,20,20
129,124,204,10,0,3,45,35,35,45,1,25,50,45,35,35,45,1,25,50,45,35,35,45,1,25,45,45,35,35,45,1,25,50,75,25,0,0,25,20,20,20
130,0,0,1,12,1,35,35,45,40,1,35,35,35,35,45,40,1,35,35,40,35,45,40,1,35,35,35,35,45,40,1,35,35,60,25,0,0,25,20,20,20
131,0,0,1,12,1,40,35,40,40,1,30,40,40,35,40,40,1,30,40,40,35,40,40,1,30,40,40,35,40,40,1,30,40,65,25,0,2,25,25,20,30
132,0,0,1,12,1,35,35,35,35,3,25,30,35,35,35,35,3,25,30,35,35,40,40,3,25,30,35,35,35,35,3,25,30,70,25,1,0,25,25,25,20
133,0,0,1,12,2,35,35,35,40,1,30,30,35,35,35,40,1,30,30,35,35,35,40,1,30,30,35,35,35,40,1,30,30,40,20,0,0,25,20,20,30
134,69,202,1,12,3,35,30,35,40,1,20,30,35,30,35,40,1,20,30,35,30,35,40,1,20,30,35,30,40,40,1,20,30,75,20,2,2,25,25,20,20
135,0,0,1,12,1,45,35,35,45,1,30,45,40,35,35,45,1,30,45,45,35,40,45,1,30,45,45,35,35,45,1,30,45,80,20,0,1,25,25,20,30
136,0,0,1,12,2,30,35,40,35,1,25,25,30,35,40,35,1,25,25,30,35,40,35,1,25,25,30,35,40,35,1,25,25,30,25,0,0,25,20,20,30
137,69,202,1,12,1,40,35,40,40,1,25,40,40,35,40,40,1,25,40,40,35,40,40,1,25,40,40,35,40,40,1,25,40,50,20,0,0,25,20,20,25
138,69,202,1,12,1,35,35,40,40,2,25,35,35,35,35,40,2,25,30,35,35,40,45,2,25,35,35,35,40,40,2,25,35,25,25,0,0,30,25,20,20
139,0,0,1,12,2,40,35,40,40,3,30,40,40,35,40,40,3,30,40,40,35,40,40,3,30,35,40,35,40,40,3,30,40,55,20,1,1,25,25,20,30
140,32,201,1,12,1,40,35,40,40,1,25,35,40,35,40,40,1,25,35,40,35,40,40,1,25,35,40,35,40,40,1,25,35,70,25,1,0,25,20,20,30
141,69,202,1,12,2,35,35,35,40,3,35,30,35,35,35,40,3,35,30,35,35,35,40,3,35,30,35,35,35,40,3,35,30,70,25,1,0,25,25,20,20
142,11,200,1,12,3,40,35,40,40,1,30,40,40,35,40,45,1,30,40,40,35,35,40,1,30,40,40,35,40,40,1,30,40,40,25,2,0,25,25,20,25
143,11,200,1,11,2,40,35,35,40,3,30,40,40,35,35,40,3,35,40,40,35,35,40,3,30,40,40,35,35,40,3,30,40,40,25,2,2,25,25,20,25
144,11,200,1,11,1,45,35,35,45,3,25,45,45,35,35,45,3,25,45,45,35,35,45,3,30,45,45,35,35,45,3,25,45,80,20,2,2,20,25,25,25
145,11,200,1,12,2,40,35,45,40,1,30,45,40,35,45,40,1,30,45,40,35,45,40,1,30,40,40,35,45,40,1,30,45,80,20,2,0,25,30,20,30
146,0,0,1,12,1,40,40,45,40,2,35,40,40,35,45,40,2,35,40,40,40,45,45,2,35,40,40,40,45,40,2,35,40,45,25,1,0,25,20,20,20
147,52,201,1,12,2,40,35,40,40,3,35,35,40,35,40,40,3,35,35,35,35,40,40,3,30,35,40,35,40,40,3,35,35,35,20,0,2,25,20,20,30
148,11,200,1,11,1,40,35,35,40,2,25,35,40,35,35,40,2,25,35,40,35,35,40,2,25,40,40,35,35,40,2,25,35,40,25,1,0,25,30,25,30
149,79,202,1,12,1,45,35,35,45,2,30,45,45,35,35,45,2,25,45,45,35,35,45,2,30,45,45,35,35,45,2,30,45,50,25,0,0,25,25,20,20
150,165,205,1,11,1,35,30,30,35,3,25,35,35,30,30,35,3,25,35,35,30,30,35,3,25,35,45,35,40,45,3,30,45,40,25,1,0,25,25,20,25
151,0,0,1,12,2,45,40,45,45,3,35,45,45,40,45,45,3,35,45,40,40,45,40,3,35,45,45,40,45,45,3,35,45,30,25,1,0,30,30,30,25
152,165,205,1,11,2,35,30,30,35,1,20,30,35,30,30,35,1,20,30,35,30,30,35,1,20,30,40,35,35,40,1,25,40,40,20,0,1,30,25,25,20
153,11,200,1,12,2,40,35,35,40,3,30,40,40,35,35,40,3,30,40,40,35,35,40,3,30,40,40,35,35,45,3,30,40,55,20,0,0,30,25,20,20
154,165,205,1,11,1,35,30,30,35,2,25,30,35,30,30,30,2,25,30,35,30,30,35,2,25,30,40,35,35,40,2,30,40,75,20,0,2,30,25,20,20
