game_id,type,line,text
9,3,105,"1-2: Ball"
9,3,106,"2-2: Strikes out swinging, 2-3 out at first."
9,2,107,"Batting: RHB <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,3,108,"0-0: Ball"
9,3,109,"1-0: Ball"
9,3,110,"2-0:  Fly out, F9  (Flyball, 9S, EV 99.4 MPH)"
9,2,111,"Batting: LHB <a href=\"../players/player_1493.html\">Mark Rogers</a>"
9,3,112,"0-0: <b>SINGLE</b>  (Groundball, 34D, EV 110.6 MPH)"
9,2,113,"Batting: LHB <a href=\"../players/player_1483.html\">Tom Naumann</a>"
9,3,114,"0-0:  Fly out, F8  (Flyball, 8LM, EV 98.1 MPH)"
9,4,115,"Bottom of the 3rd over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 3 - Windsor 0"
9,1,116,"Top of the 4th - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,117,"Batting: LHB <a href=\"../players/player_1434.html\">Pedro Gonzales</a>"
9,3,118,"0-0: Called Strike"
9,3,119,"0-1: Foul Ball, location: 5F"
9,3,120,"0-2: Ground out 5-3 (Groundball, 56, EV 103.1 MPH)"
9,2,121,"Batting: SHB <a href=\"../players/player_1435.html\">Jason Sandidge</a>"
9,3,122,"0-0: Ball"
9,3,123,"1-0: Called Strike"
9,3,124,"1-1: Swinging Strike"
9,3,125,"1-2: Foul Ball, location: 5F"
9,3,126,"1-2: Ball"
9,3,127,"2-2: Foul Ball, location: 2LF"
9,3,128,"2-2: Foul Ball, location: 5F"
9,3,129,"2-2: Strikes out swinging"
9,2,130,"Batting: LHB <a href=\"../players/player_20.html\">Brian Neville</a>"
9,3,131,"0-0: Swinging Strike"
9,3,132,"0-1: Foul Ball, location: 7LMF"
9,3,133,"0-2: Ball"
9,3,134,"1-2: Ball"
9,3,135,"2-2: Ball"
9,3,136,"3-2: Foul Ball, location: 2F"
9,3,137,"3-2: Strikes out looking"
9,4,138,"Top of the 4th over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 3 - Windsor 0"
9,1,139,"Bottom of the 4th - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,140,"Batting: LHB <a href=\"../players/player_73.html\">Ford Smallwood</a>"
9,3,141,"0-0: Ball"
9,3,142,"1-0: Called Strike"
9,3,143,"1-1: Ball"
9,3,144,"2-1: Called Strike"
9,3,145,"2-2: Ball"
9,3,146,"3-2: <b>SINGLE</b>  (Line Drive, 6D, EV 98.8 MPH)"
9,2,147,"Batting: RHB <a href=\"../players/player_1484.html\">Tommy Justice</a>"
9,3,148,"0-0: <b>DOUBLE</b>  (Flyball, 78XD, EV 107.5 MPH)"
9,3,149,"<a href=\"../players/player_73.html\">Ford Smallwood</a> to third"
9,2,150,"Pinch Runner at 2nd <a href=\"../players/player_2636.html\">Jason Tribble</a>: "
9,2,151,"Batting: SHB <a href=\"../players/player_1480.html\">Cary Paradis</a>"
9,3,152,"0-0: Ball"
9,3,153,"1-0: Called Strike"
9,3,154,"1-1: Swinging Strike"
9,3,155,"1-2: Ball"
9,3,156,"2-2: Ground out 6-3 (Groundball, 6M, EV 89.4 MPH)"
9,2,157,"Batting: LHB <a href=\"../players/player_3265.html\">Javier Molina</a>"
9,3,158,"0-0: Ball"
9,3,159,"1-0: Ground out 5-3 (Groundball, 5, EV 101.9 MPH)"
9,3,160,"<b><a href=\"../players/player_73.html\">Ford Smallwood</a> scores</b>"
9,2,161,"Batting: RHB <a href=\"../players/player_1485.html\">Edgar Valdez</a>"
9,3,162,"0-0: Swinging Strike"
9,3,163,"0-1:  <b>2-RUN HOME RUN</b>  (Flyball, 9D, EV 98.1 MPH), Distance : 367 ft"
9,2,164,"Batting: RHB <a href=\"../players/player_3114.html\">Tom Mills</a>"
9,3,165,"0-0:  Fly out, F9  (Flyball, 89S, EV 87.5 MPH)"
9,4,166,"Bottom of the 4th over - 3 runs, 3 hits, 0 errors, 0 left on base; Montreal 3 - Windsor 3"
9,1,167,"Top of the 5th - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,168,"Now at 3B: <a href=\"../players/player_2636.html\">Jason Tribble</a>"
9,2,169,"Batting: RHB <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,3,170,"0-0: Called Strike"
9,3,171,"0-1: Called Strike"
9,3,172,"0-2: Ball"
9,3,173,"1-2: Ball"
9,3,174,"2-2: Reached on error, E5 (Groundball, 25, EV 86.9 MPH)"
9,2,175,"Batting: RHB <a href=\"../players/player_3620.html\">John Laessig</a>"
9,3,176,"0-0: Ball"
9,3,177,"1-0: Ball"
9,3,178,"2-0: Foul Ball, location: 2F"
9,3,179,"2-1: Foul Ball, location: 3F"
9,3,180,"2-2: Strikes out swinging"
9,2,181,"Batting: RHB <a href=\"../players/player_1428.html\">Steve White</a>"
9,3,182,"0-0: Foul Ball, location: 9LDF"
9,3,183,"0-1: Reached on error, E5 (Groundball, 5, EV 90.0 MPH)"
9,3,184,"<a href=\"../players/player_4.html\">Adrian Edwards</a> to second"
9,2,185,"Batting: LHB <a href=\"../players/player_25.html\">John Kinney</a>"
9,3,186,"0-0:  Fly out, F8  (Line Drive, 8RM, EV 93.1 MPH)"
9,2,187,"Batting: LHB <a href=\"../players/player_19.html\">Mike Sharp</a>"
9,3,188,"0-0: Ball"
9,3,189,"1-0: Called Strike"
9,3,190,"1-1: Ball"
9,3,191,"2-1: Ball"
9,3,192,"3-1: Base on Balls"
9,3,193,"<a href=\"../players/player_4.html\">Adrian Edwards</a> to third"
9,3,194,"<a href=\"../players/player_1428.html\">Steve White</a> to second"
9,2,195,"Batting: RHB <a href=\"../players/player_14.html\">Oscar Sandovar</a>"
9,3,196,"0-0: Ball"
9,3,197,"1-0: Ball"
9,3,198,"2-0: Called Strike"
9,3,199,"2-1: Ball"
9,3,200,"3-1: Base on Balls"
9,3,201,"<b><a href=\"../players/player_4.html\">Adrian Edwards</a> scores</b>"
9,3,202,"<a href=\"../players/player_1428.html\">Steve White</a> to third"
9,3,203,"<a href=\"../players/player_19.html\">Mike Sharp</a> to second"
9,2,204,"Batting: LHB <a href=\"../players/player_1434.html\">Pedro Gonzales</a>"
9,3,205,"0-0: Called Strike"
9,3,206,"0-1: Fielders Choice at 3rd, U5 (Groundball, 5, EV 87.5 MPH)"
9,4,207,"Top of the 5th over - 1 run, 0 hits, 2 errors, 2 left on base; Montreal 4 - Windsor 3"
9,1,208,"Bottom of the 5th - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,209,"Pinch Hitting: LHB <a href=\"../players/player_72.html\">Mark Battle</a>"
9,3,210,"0-0: Called Strike"
9,3,211,"0-1: Swinging Strike"
9,3,212,"0-2: Ball"
9,3,213,"1-2: Foul Ball, location: 2F"
9,3,214,"1-2: Strikes out looking"
9,2,215,"Batting: LHB <a href=\"../players/player_1493.html\">Mark Rogers</a>"
9,3,216,"0-0: Ground out 4-3 (Groundball, 34D, EV 105.6 MPH)"
9,2,217,"Batting: LHB <a href=\"../players/player_1483.html\">Tom Naumann</a>"
9,3,218,"0-0: <b>SINGLE</b>  (Groundball, 4MD, EV 95.0 MPH)"
9,2,219,"Batting: LHB <a href=\"../players/player_73.html\">Ford Smallwood</a>"
9,3,220,"0-0: Ball"
9,3,221,"1-0: Called Strike"
9,3,222,"<a href=\"../players/player_1483.html\">Tom Naumann</a> steals 2nd base"
9,3,223,"1-1: Ball"
9,3,224,"Wild Pitch!"
9,3,225,"<a href=\"../players/player_1483.html\">Tom Naumann</a> to third"
9,3,226,"2-1:  Fly out, F7  (Flyball, 7, EV 86.3 MPH)"
9,4,227,"Bottom of the 5th over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 4 - Windsor 3"
9,1,228,"Top of the 6th - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_2621.html\">Doug Lungren</a>"
9,2,229,"Pitching: LHP <a href=\"../players/player_2618.html\">Mike Rakowsky</a>"
9,2,230,"Batting: SHB <a href=\"../players/player_1435.html\">Jason Sandidge</a>"
9,3,231,"0-0: Ball"
9,3,232,"1-0: Swinging Strike"
9,3,233,"1-1:  Fly out, F8  (Flyball, 8LXD, EV 106.3 MPH)"
9,2,234,"Batting: LHB <a href=\"../players/player_20.html\">Brian Neville</a>"
9,3,235,"0-0:  Fly out, F8  (Flyball, 8RM, EV 80.0 MPH)"
9,2,236,"Batting: RHB <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,3,237,"0-0: Ball"
9,3,238,"1-0: Called Strike"
9,3,239,"1-1: Called Strike"
9,3,240,"1-2: Strikes out swinging"
9,4,241,"Top of the 6th over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 4 - Windsor 3"
9,1,242,"Bottom of the 6th - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,243,"Batting: RHB <a href=\"../players/player_2636.html\">Jason Tribble</a>"
9,3,244,"0-0: Ball"
9,3,245,"1-0:  Fly out, F8  (Line Drive, 8LM, EV 98.8 MPH)"
9,2,246,"Batting: SHB <a href=\"../players/player_1480.html\">Cary Paradis</a>"
9,3,247,"0-0: Called Strike"
9,3,248,"0-1: Foul Ball, location: 25F"
9,3,249,"0-2: Ball"
9,3,250,"1-2: Foul Ball, location: 23F"
9,3,251,"1-2: Strikes out looking"
9,2,252,"Batting: LHB <a href=\"../players/player_3265.html\">Javier Molina</a>"
9,3,253,"0-0: Called Strike"
9,3,254,"0-1: Called Strike"
9,3,255,"0-2: Ball"
9,3,256,"1-2: Ball"
9,3,257,"2-2: <b>SINGLE</b>  (Groundball, 4MD, EV 101.3 MPH)"
9,2,258,"Batting: RHB <a href=\"../players/player_1485.html\">Edgar Valdez</a>"
9,3,259,"0-0: Ball"
9,3,260,"1-0: Foul Ball, location: 9LSF"
9,3,261,"1-1:  Fly out, F7  (Flyball, 7S, EV 93.8 MPH)"
9,4,262,"Bottom of the 6th over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 4 - Windsor 3"
9,1,263,"Top of the 7th - Montreal Defenders batting - Pitching for Windsor Bootlegers : LHP <a href=\"../players/player_2618.html\">Mike Rakowsky</a>"
9,2,264,"Batting: RHB <a href=\"../players/player_3620.html\">John Laessig</a>"
9,3,265,"0-0: Foul Ball, location: 25F"
9,3,266,"0-1: Foul Ball, location: 23F"
9,3,267,"0-2: Ball"
9,3,268,"1-2: Foul Ball, location: 2F"
9,3,269,"1-2: Strikes out swinging"
9,2,270,"Batting: RHB <a href=\"../players/player_1428.html\">Steve White</a>"
9,3,271,"0-0: Ball"
9,3,272,"1-0: Ball"
9,3,273,"2-0: Foul Ball, location: 9LSF"
9,3,274,"2-1: <b>SINGLE</b>  (Line Drive, 78S, EV 86.3 MPH)"
9,2,275,"Batting: LHB <a href=\"../players/player_25.html\">John Kinney</a>"
9,3,276,"0-0: Ball"
9,3,277,"1-0: Foul Ball, location: 2F"
9,3,278,"1-1: Ball"
9,3,279,"2-1: Grounds into double play, 4-6-3 (Groundball, 4, EV 91.9 MPH)"
9,4,280,"Top of the 7th over - 0 runs, 1 hit, 0 errors, 0 left on base; Montreal 4 - Windsor 3"
9,1,281,"Bottom of the 7th - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,282,"Batting: RHB <a href=\"../players/player_3114.html\">Tom Mills</a>"
9,3,283,"0-0: Called Strike"
9,3,284,"0-1: Foul Ball, location: 9LDF"
9,3,285,"0-2: Ball"
9,3,286,"1-2: Foul Ball, location: 25F"
9,3,287,"1-2:  Fly out, F3  (Line Drive, 3, EV 68.8 MPH)"
9,2,288,"Pinch Hitting: LHB <a href=\"../players/player_1482.html\">Tom Hines</a>"
9,3,289,"0-0: Ball"
9,3,290,"1-0: Foul Ball, location: 5F"
9,3,291,"1-1: Ball"
9,3,292,"2-1: <b>TRIPLE</b>  (Flyball, 89XD, EV 96.3 MPH)"
9,2,293,"Batting: LHB <a href=\"../players/player_1493.html\">Mark Rogers</a>"
9,3,294,"0-0: Called Strike"
9,3,295,"0-1: Called Strike"
9,3,296,"0-2: Ball"
9,3,297,"1-2: Ball"
9,3,298,"2-2: Foul Ball, location: 5DF"
9,3,299,"2-2: Strikes out swinging"
9,2,300,"Batting: LHB <a href=\"../players/player_1483.html\">Tom Naumann</a>"
9,3,301,"0-0: Ball"
9,3,302,"1-0: Foul Ball, location: 3FF"
9,3,303,"1-1: Foul Ball, location: 2F"
9,3,304,"1-2: Ball"
9,3,305,"2-2: Ball"
9,3,306,"3-2: Strikes out swinging"
9,4,307,"Bottom of the 7th over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 4 - Windsor 3"
9,1,308,"Top of the 8th - Montreal Defenders batting - Pitching for Windsor Bootlegers : LHP <a href=\"../players/player_2618.html\">Mike Rakowsky</a>"
9,2,309,"Pitching: RHP <a href=\"../players/player_1477.html\">Jorge Escobedo</a>"
9,2,310,"Batting: LHB <a href=\"../players/player_19.html\">Mike Sharp</a>"
9,3,311,"0-0: Called Strike"
9,3,312,"0-1: Ball"
9,3,313,"1-1: Foul Ball, location: 7LMF"
9,3,314,"1-2: Ball"
9,3,315,"2-2: Strikes out swinging"
9,2,316,"Batting: RHB <a href=\"../players/player_14.html\">Oscar Sandovar</a>"
9,3,317,"0-0: Called Strike"
9,3,318,"0-1: Ball"
9,3,319,"1-1: Foul Ball, location: 2LF"
9,3,320,"1-2: Foul Ball, location: 23F"
9,3,321,"1-2:  Fly out, F6  (Line Drive, 6, EV 71.3 MPH)"
9,2,322,"Batting: LHB <a href=\"../players/player_1434.html\">Pedro Gonzales</a>"
9,3,323,"0-0: Swinging Strike"
9,3,324,"0-1: Foul Ball, location: 2F"
9,3,325,"0-2: Ball"
9,3,326,"1-2: Strikes out looking"
9,4,327,"Top of the 8th over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 4 - Windsor 3"
9,1,328,"Bottom of the 8th - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_4.html\">Adrian Edwards</a>"
9,2,329,"Batting: LHB <a href=\"../players/player_73.html\">Ford Smallwood</a>"
9,3,330,"0-0: <b>SINGLE</b>  (Flyball, 78D, EV 98.1 MPH)"
9,2,331,"Batting: RHB <a href=\"../players/player_2636.html\">Jason Tribble</a>"
9,3,332,"0-0: Foul Ball, location: 2F"
9,3,333,"0-1:  <b>2-RUN HOME RUN</b>  (Flyball, 7D, EV 93.1 MPH), Distance : 361 ft"
9,2,334,"Pitching: RHP <a href=\"../players/player_3013.html\">Nolan Knudson</a>"
9,2,335,"Batting: SHB <a href=\"../players/player_1480.html\">Cary Paradis</a>"
9,3,336,"0-0: Called Strike"
9,3,337,"0-1: Called Strike"
9,3,338,"0-2: Strikes out looking"
9,2,339,"Batting: LHB <a href=\"../players/player_3265.html\">Javier Molina</a>"
9,3,340,"0-0: Ball"
9,3,341,"1-0: Ground out 5-3 (Groundball, 5, EV 84.4 MPH)"
9,2,342,"Batting: RHB <a href=\"../players/player_1485.html\">Edgar Valdez</a>"
9,3,343,"0-0:  Fly out, F8  (Flyball, 8RM, EV 95.0 MPH)"
9,4,344,"Bottom of the 8th over - 2 runs, 2 hits, 0 errors, 0 left on base; Montreal 4 - Windsor 5"
9,1,345,"Top of the 9th - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_1477.html\">Jorge Escobedo</a>"
9,2,346,"Pitching: RHP <a href=\"../players/player_54.html\">Rafael Cordova</a>"
9,2,347,"Now at 1B: <a href=\"../players/player_63.html\">Justin Zoch</a>"
9,2,348,"Batting: SHB <a href=\"../players/player_1435.html\">Jason Sandidge</a>"
9,3,349,"0-0: Ball"
9,3,350,"1-0: Ball"
9,3,351,"2-0: Foul Ball, location: 9LDF"
9,3,352,"2-1: Foul Ball, location: 2F"
9,3,353,"2-2: Ball"
9,3,354,"3-2: Foul Ball, location: 2F"
9,3,355,"3-2: Ground out 6-3 (Groundball, 6M, EV 77.5 MPH)"
9,2,356,"Batting: LHB <a href=\"../players/player_20.html\">Brian Neville</a>"
9,3,357,"0-0: Called Strike"
9,3,358,"0-1: Ball"
9,3,359,"1-1: Ball"
9,3,360,"2-1: Foul Ball, location: 2F"
9,3,361,"2-2: Strikes out swinging"
9,2,362,"Pinch Hitting: LHB <a href=\"../players/player_3031.html\">Vincent Carrasco</a>"
9,3,363,"0-0: Ball"
9,3,364,"1-0: Ball"
9,3,365,"2-0: Swinging Strike"
9,3,366,"2-1: Foul Ball, location: 2F"
9,3,367,"2-2:  Fly out, F9  (Line Drive, 9, EV 98.8 MPH)"
9,4,368,"Top of the 9th over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 4 - Windsor 5"
18,1,1,"Top of the 1st - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_49.html\">Danny Hernandez</a>"
18,2,2,"Pitching: RHP <a href=\"../players/player_49.html\">Danny Hernandez</a>"
18,2,3,"Batting: RHB <a href=\"../players/player_3620.html\">John Laessig</a>"
18,3,4,"0-0: Called Strike"
18,3,5,"0-1: Ball"
18,3,6,"1-1: Ball"
18,3,7,"2-1: Ground out 6-3 (Groundball, 56D, EV 81.9 MPH)"
18,2,8,"Batting: RHB <a href=\"../players/player_1428.html\">Steve White</a>"
18,3,9,"0-0: Foul Ball, location: 3SF"
18,3,10,"0-1: Swinging Strike"
18,3,11,"0-2: Ball"
18,3,12,"1-2: Ball"
18,3,13,"2-2: Foul Ball, location: 9LSF"
18,3,14,"2-2: <b>SINGLE</b>  (Groundball, 5D, EV 104.4 MPH)"
18,2,15,"Batting: LHB <a href=\"../players/player_25.html\">John Kinney</a>"
18,3,16,"0-0: Called Strike"
18,3,17,"0-1: Ball"
18,3,18,"1-1: Swinging Strike"
18,3,19,"1-2: Foul Ball, location: 25F"
18,3,20,"1-2: Foul Ball, location: 5F"
18,3,21,"1-2:  Fly out, F6  (Popup, 6D, EV 55.6 MPH)"
18,2,22,"Batting: LHB <a href=\"../players/player_19.html\">Mike Sharp</a>"
18,3,23,"0-0: Called Strike"
18,3,24,"0-1: Called Strike"
18,3,25,"0-2: Ball"
18,3,26,"1-2: Strikes out swinging"
18,4,27,"Top of the 1st over - 0 runs, 1 hit, 0 errors, 1 left on base; Montreal 0 - Windsor 0"
18,1,28,"Bottom of the 1st - Windsor Bootlegers batting - Pitching for Montreal Defenders : RHP <a href=\"../players/player_1416.html\">Ryan Findley</a>"
18,2,29,"Pitching: RHP <a href=\"../players/player_1416.html\">Ryan Findley</a>"
18,2,30,"Batting: LHB <a href=\"../players/player_1493.html\">Mark Rogers</a>"
18,3,31,"0-0: Foul Ball, location: 9LMF"
18,3,32,"0-1: Ball"
18,3,33,"1-1: Called Strike"
18,3,34,"1-2: Ball"
18,3,35,"2-2: Ball"
18,3,36,"3-2: Strikes out looking"
18,2,37,"Batting: LHB <a href=\"../players/player_1483.html\">Tom Naumann</a>"
18,3,38,"0-0: Ball"
18,3,39,"1-0: Ground out 4-3 (Groundball, 34, EV 103.1 MPH)"
18,2,40,"Batting: LHB <a href=\"../players/player_73.html\">Ford Smallwood</a>"
18,3,41,"0-0: Foul Ball, location: 2F"
18,3,42,"0-1: Ball"
18,3,43,"1-1: Ground out 6-3 (Groundball, 6, EV 93.8 MPH)"
18,4,44,"Bottom of the 1st over - 0 runs, 0 hits, 0 errors, 0 left on base; Montreal 0 - Windsor 0"
18,1,45,"Top of the 2nd - Montreal Defenders batting - Pitching for Windsor Bootlegers : RHP <a href=\"../players/player_49.html\">Danny Hernandez</a>"
18,2,46,"Batting: RHB <a href=\"../players/player_14.html\">Oscar Sandovar</a>"
18,3,47,"0-0: Called Strike"
18,3,48,"0-1: Called Strike"
18,3,49,"0-2: Ball"
18,3,50,"1-2: Strikes out looking"
18,2,51,"Batting: LHB <a href=\"../players/player_1434.html\">Pedro Gonzales</a>"
18,3,52,"0-0:  <b>SOLO HOME RUN</b>  (Line Drive, 78XD, EV 104.4 MPH), Distance : 421 ft"
18,2,53,"Batting: SHB <a href=\"../players/player_1435.html\">Jason Sandidge</a>"
18,3,54,"0-0: Ball"
18,3,55,"1-0: Foul Ball, location: 2F"
18,3,56,"1-1: Foul Ball, location: 25FF"
18,3,57,"1-2: Ball"
18,3,58,"2-2: Foul Ball, location: 5F"
