player_id,team_id,league_id,position,role,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,options_used,options_used_this_year,has_received_arbitration,was_traded,trade_status
23,41,201,8,0,0,0,0,0,0,0,0,0,0,0,8,10,11,1414,1734,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
24,87,202,7,0,0,0,0,0,0,0,0,0,0,0,4,4,6,704,781,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
25,3,200,3,0,0,1,1,0,0,0,0,0,0,0,7,7,8,1261,1261,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
26,66,202,7,0,0,0,0,0,0,0,0,0,0,0,7,7,9,1211,1211,10,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
27,87,202,2,0,0,0,0,0,0,0,0,0,0,0,8,9,10,1400,1573,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
28,87,202,4,0,0,0,0,0,0,0,0,0,0,0,5,6,7,875,1203,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
29,87,202,3,0,0,0,0,0,0,0,0,0,0,0,9,9,10,1597,1597,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
30,87,202,9,0,0,0,0,0,0,0,0,0,0,0,13,14,15,2258,2485,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
31,41,201,3,0,0,0,0,0,0,0,0,0,0,0,3,5,6,555,888,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
32,87,202,8,0,0,0,0,0,0,0,0,0,0,0,17,17,18,2928,2928,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
33,87,202,2,0,0,0,0,0,0,0,0,0,0,0,15,15,17,2581,2706,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
34,87,202,8,0,0,0,0,0,0,0,0,0,0,0,11,11,13,1895,1895,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
35,0,0,1,11,0,0,0,0,0,0,0,0,0,0,5,5,6,899,899,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
36,87,202,1,11,0,0,0,0,0,0,0,0,0,0,8,9,10,1377,1570,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
37,87,202,1,12,0,0,0,0,0,0,0,0,0,0,8,8,10,1385,1471,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
38,87,202,1,12,0,0,0,0,0,0,0,0,0,0,10,10,12,1744,1744,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
39,87,202,1,12,0,0,0,0,0,0,0,0,0,0,12,13,14,2092,2310,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
40,116,203,1,12,0,0,0,0,0,0,0,0,0,0,3,3,5,565,565,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,7,8,1082,1253,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
42,0,0,1,12,0,0,0,0,0,0,0,0,0,0,7,8,10,1218,1423,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
43,145,204,1,12,0,0,0,0,0,0,0,0,0,0,3,3,4,523,630,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
44,0,0,1,12,0,0,0,0,0,0,0,0,0,0,11,11,12,1895,1993,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
45,87,202,1,11,0,0,0,0,0,0,0,0,0,0,6,7,8,1068,1314,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
46,0,0,1,12,0,0,0,0,0,0,0,0,0,0,8,8,10,1412,1500,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
47,87,202,1,12,0,0,0,0,0,0,0,0,0,0,14,16,17,2438,2760,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
48,174,205,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
49,15,200,1,11,0,1,1,0,0,0,0,0,0,0,4,4,6,739,739,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
50,74,202,1,11,0,0,0,0,0,0,0,0,0,0,6,6,7,1058,1058,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
51,15,200,1,11,0,1,1,0,0,0,0,0,0,0,13,13,15,2270,2405,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
52,15,200,1,12,0,1,1,0,0,0,0,0,0,0,15,15,16,2629,2652,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
53,15,200,1,12,0,1,1,0,0,0,0,0,0,0,7,7,9,1278,1278,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
54,15,200,1,13,0,1,1,0,0,0,0,0,0,0,7,8,9,1243,1541,26,26,26,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
55,74,202,1,12,0,0,0,0,0,0,0,0,0,0,13,14,15,2266,2462,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
56,35,201,1,12,0,0,0,0,0,0,0,0,0,0,5,5,7,909,909,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,1,12,0,0,0,0,0,0,0,0,0,0,12,12,14,2110,2203,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
58,35,201,1,11,0,0,0,0,0,0,0,0,0,0,2,2,4,359,415,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
59,15,200,1,12,0,1,1,0,0,0,0,0,0,0,13,13,15,2283,2325,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
60,0,0,1,12,0,0,0,0,0,0,0,0,0,0,8,9,10,1423,1637,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
61,15,200,2,0,0,0,0,0,0,0,0,0,0,0,11,13,13,1947,2297,26,20,20,26,20,4,1,1,1,6,0,4,0,3,0,0,0,0
62,2,200,2,0,0,1,1,0,0,0,0,0,0,0,5,5,6,906,1005,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,1,0
63,15,200,3,0,0,1,1,0,0,0,0,0,0,0,11,11,12,1967,1967,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
64,74,202,4,0,0,0,0,0,0,0,0,0,0,0,8,8,10,1390,1505,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
65,35,201,5,0,0,0,0,0,0,0,0,0,0,0,6,7,8,1037,1324,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
66,174,205,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,26,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0
67,74,202,4,0,0,0,0,0,0,0,0,0,0,0,8,8,10,1422,1469,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
68,98,203,4,0,0,0,0,0,0,0,0,0,0,0,3,4,5,548,807,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
69,98,203,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,26,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0
70,74,202,8,0,0,0,0,0,0,0,0,0,0,0,12,12,13,2098,2098,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,8,9,1209,1480,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
72,15,200,7,0,0,1,1,0,0,0,0,0,0,0,7,8,9,1273,1377,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
73,15,200,3,0,0,1,1,0,0,0,0,0,0,0,9,9,10,1614,1696,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
74,74,202,3,0,0,0,0,0,0,0,0,0,0,0,9,10,11,1558,1734,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
75,74,202,5,0,0,0,0,0,0,0,0,0,0,0,10,10,12,1732,1732,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
76,74,202,9,0,0,0,0,0,0,0,0,0,0,0,10,11,12,1768,1923,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
77,74,202,4,0,0,0,0,0,0,0,0,0,0,0,5,6,7,881,1095,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
78,74,202,2,0,0,0,0,0,0,0,0,0,0,0,9,10,11,1582,1860,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
79,74,202,7,0,0,0,0,0,0,0,0,0,0,0,9,9,11,1577,1577,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
80,74,202,3,0,0,0,0,0,0,0,0,0,0,0,8,9,10,1400,1678,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
81,74,202,9,0,0,0,0,0,0,0,0,0,0,0,14,15,16,2453,2705,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
82,74,202,1,12,0,0,0,0,0,0,0,0,0,0,8,9,11,1413,1686,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
83,74,202,1,12,0,0,0,0,0,0,0,0,0,0,17,18,19,2937,3160,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
84,74,202,1,11,0,0,0,0,0,0,0,0,0,0,12,12,14,2114,2157,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
85,74,202,1,11,0,0,0,0,0,0,0,0,0,0,5,5,7,865,896,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
86,98,203,1,12,0,0,0,0,0,0,0,0,0,0,3,3,5,540,540,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
87,79,202,1,12,0,0,0,0,0,0,0,0,0,0,12,13,14,2114,2328,16,0,0,16,0,4,0,0,0,0,0,0,0,2,0,0,0,0
88,74,202,1,12,0,0,0,0,0,0,0,0,0,0,14,15,16,2439,2660,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
89,98,203,1,12,0,0,0,0,0,0,0,0,0,0,3,4,5,517,827,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
90,74,202,1,12,0,0,0,0,0,0,0,0,0,0,6,6,7,1058,1162,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
91,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,6,7,1080,1080,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
92,74,202,1,12,0,0,0,0,0,0,0,0,0,0,7,7,9,1248,1312,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,6,8,1068,1074,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
94,98,203,1,12,0,0,0,0,0,0,0,0,0,0,3,4,5,565,781,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
95,69,202,1,11,0,0,0,0,0,0,0,0,0,0,5,5,7,888,972,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
96,13,200,1,11,0,0,0,1,1,0,0,0,0,0,5,5,6,912,930,26,26,26,26,15,4,0,0,0,0,0,0,0,1,0,0,0,0
97,13,200,1,11,0,1,1,0,0,0,0,0,0,0,8,8,9,1430,1465,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,1,12,0,0,0,0,0,0,0,0,0,0,8,9,10,1398,1551,19,0,0,19,0,4,0,0,0,0,0,0,0,2,0,0,0,0
99,32,201,1,12,0,0,0,0,0,0,0,0,0,0,17,17,18,2945,3088,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
100,13,200,1,12,0,1,1,0,0,0,0,0,0,0,3,3,5,563,563,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
101,13,200,1,11,0,1,1,0,0,0,0,0,0,0,6,8,8,1094,1382,26,26,26,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
102,69,202,1,13,0,0,0,0,0,0,0,0,0,0,8,9,10,1389,1647,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
103,13,200,1,13,0,1,1,0,0,0,0,0,0,0,6,6,7,1075,1077,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1,12,0,0,0,0,0,0,0,0,0,0,7,7,9,1209,1209,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
105,69,202,1,12,0,0,0,0,0,0,0,0,0,0,8,8,9,1384,1540,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
106,69,202,1,12,0,0,0,0,0,0,0,0,0,0,12,12,14,2086,2086,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
107,13,200,1,12,0,1,1,0,0,0,0,0,0,0,3,3,4,570,573,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
108,32,201,2,0,0,0,0,0,0,0,0,0,0,0,11,12,13,1907,2174,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
109,13,200,2,0,0,1,1,0,0,0,0,0,0,0,10,11,12,1761,2000,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
110,124,204,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,111,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
111,13,200,4,0,0,1,1,0,0,0,0,0,0,0,5,7,7,899,1230,26,26,26,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
112,69,202,5,0,0,0,0,0,0,0,0,0,0,0,0,0,255,16,16,26,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0
113,13,200,6,0,0,1,1,0,0,0,0,0,0,0,3,3,5,558,598,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
114,69,202,5,0,0,0,0,0,0,0,0,0,0,0,6,8,8,1077,1382,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
115,32,201,4,0,0,0,0,0,0,0,0,0,0,0,6,6,7,1043,1043,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
116,32,201,7,0,0,0,0,0,0,0,0,0,0,0,1,1,3,193,193,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
117,13,200,7,0,0,1,1,0,0,0,0,0,0,0,1,1,3,234,234,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
118,69,202,7,0,0,0,0,0,0,0,0,0,0,0,7,9,10,1249,1576,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
119,162,205,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0
120,13,200,7,0,0,1,1,0,0,0,0,0,0,0,5,5,6,923,1020,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
121,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,7,8,1075,1300,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
122,76,202,7,0,0,0,0,0,0,0,0,0,0,0,4,5,6,711,931,16,0,0,16,0,4,0,0,0,0,0,0,0,1,0,0,0,0
123,69,202,6,0,0,0,0,0,0,0,0,0,0,0,5,5,7,905,914,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
124,32,201,7,0,0,0,0,0,0,0,0,0,0,0,17,17,18,2940,2940,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
125,69,202,7,0,0,0,0,0,0,0,0,0,0,0,9,9,11,1596,1596,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
126,32,201,4,0,0,0,0,0,0,0,0,0,0,0,10,11,13,1725,2006,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
127,69,202,4,0,0,0,0,0,0,0,0,0,0,0,7,8,9,1230,1487,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
128,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,12,13,1927,2080,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
129,124,204,10,0,0,0,0,0,0,0,0,0,0,0,1,1,3,189,274,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,1,12,0,0,0,0,0,0,0,0,0,0,5,5,7,910,979,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,1,12,0,0,0,0,0,0,0,0,0,0,14,14,15,2410,2507,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
132,0,0,1,12,0,0,0,0,0,0,0,0,0,0,14,14,16,2447,2475,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
133,0,0,1,12,0,0,0,0,0,0,0,0,0,0,14,14,16,2423,2423,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
134,69,202,1,12,0,0,0,0,0,0,0,0,0,0,9,10,11,1592,1762,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
135,0,0,1,12,0,0,0,0,0,0,0,0,0,0,14,14,16,2431,2433,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,12,0,0,0,0,0,0,0,0,0,0,10,10,11,1754,1754,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
137,69,202,1,12,0,0,0,0,0,0,0,0,0,0,13,14,15,2244,2509,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
138,69,202,1,12,0,0,0,0,0,0,0,0,0,0,12,12,14,2097,2102,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
139,0,0,1,12,0,0,0,0,0,0,0,0,0,0,16,17,18,2753,2968,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
140,32,201,1,12,0,0,0,0,0,0,0,0,0,0,15,15,17,2592,2592,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
141,69,202,1,12,0,0,0,0,0,0,0,0,0,0,10,10,12,1751,1779,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
142,11,200,1,12,0,1,1,0,0,0,0,0,0,0,9,9,11,1583,1583,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
143,11,200,1,11,0,1,1,0,0,0,0,0,0,0,12,13,14,2128,2284,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
144,11,200,1,11,0,1,1,0,0,0,0,0,0,0,8,10,10,1450,1759,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
145,11,200,1,12,0,1,1,0,0,0,0,0,0,0,9,9,11,1596,1682,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
146,0,0,1,12,0,0,0,0,0,0,0,0,0,0,5,5,6,906,1010,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
147,52,201,1,12,0,0,0,0,0,0,0,0,0,0,8,9,10,1413,1680,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
148,11,200,1,11,0,1,1,0,0,0,0,0,0,0,10,10,11,1763,1763,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
149,79,202,1,12,0,0,0,0,0,0,0,0,0,0,5,5,6,867,1002,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
150,165,205,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,1,12,0,0,0,0,0,0,0,0,0,0,6,7,8,1036,1326,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
152,165,205,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,18,30,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
153,11,200,1,12,0,1,1,0,0,0,0,0,0,0,7,7,8,1235,1235,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
154,165,205,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,38,38,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
155,79,202,2,0,0,0,0,0,0,0,0,0,0,0,9,11,13,1568,1907,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
156,11,200,2,0,0,1,1,0,0,0,0,0,0,0,5,5,6,907,907,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,2
157,11,200,3,0,0,1,1,0,0,0,0,0,0,0,10,11,12,1758,1940,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
158,106,203,4,0,0,0,0,0,0,0,0,0,0,0,3,4,5,518,853,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
159,11,200,3,0,0,1,1,0,0,0,0,0,0,0,2,2,3,390,390,26,26,26,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
160,146,204,6,0,0,0,0,0,0,0,0,0,0,0,2,2,4,385,385,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
161,52,201,4,0,0,0,1,1,0,0,0,0,0,0,7,8,9,1229,1409,26,0,26,26,0,4,0,0,0,0,0,0,0,2,1,0,0,0
162,52,201,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,111,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
163,11,200,7,0,0,1,1,0,0,0,0,0,0,0,5,6,7,922,1116,26,26,26,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
164,52,201,8,0,0,0,0,0,0,0,0,0,0,0,4,4,5,703,703,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
165,165,205,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,47,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
166,11,200,9,0,0,1,1,0,0,0,0,0,0,0,10,10,12,1757,1757,26,26,26,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
167,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,9,11,1562,1562,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
168,79,202,6,0,0,0,0,0,0,0,0,0,0,0,8,9,10,1381,1617,26,0,0,26,0,4,0,0,0,0,0,0,0,2,0,0,0,0
169,79,202,3,0,0,0,0,0,0,0,0,0,0,0,7,7,9,1211,1211,26,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0
170,79,202,3,0,0,0,0,0,0,0,0,0,0,0,5,6,7,866,1194,26,0,0,26,0,4,0,0,0,0,0,0,0,3,0,0,0,0
171,52,201,4,0,0,0,0,0,0,0,0,0,0,0,10,11,12,1734,1967,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
172,79,202,3,0,0,0,0,0,0,0,0,0,0,0,18,18,19,3104,3121,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
173,79,202,9,0,0,0,0,0,0,0,0,0,0,0,7,7,9,1211,1265,26,0,0,26,0,4,0,0,0,0,0,0,0,1,0,0,0,0
